timestamp,can_id,name,dlc,raw_data,RPM,Speed,Coolant,WheelSpeed_FL,WheelSpeed_FR,WheelSpeed_RL,WheelSpeed_RR
1763619167.4760065,0x200,WheelSpeeds,8,2A2A292A00000000,,,,21,20,149,0
1763619167.577824,0x100,EngineData,8,0339307300000000,160352,57,88,,,,
1763619167.5784883,0x200,WheelSpeeds,8,2D2C2D2C00000000,,,,150,22,150,0
1763619167.6797256,0x100,EngineData,8,035E337300000000,179300,185,88,,,,
1763619167.6798956,0x200,WheelSpeeds,8,2F2F2F2F00000000,,,,151,151,151,128
1763619167.782946,0x200,WheelSpeeds,8,3333343200000000,,,,153,154,25,0
1763619167.7831008,0x100,EngineData,8,0384367300000000,198764,57,88,,,,
1763619167.8861194,0x100,EngineData,8,03A9397300000000,217712,185,88,,,,
1763619167.8868184,0x200,WheelSpeeds,8,3635343600000000,,,,26,154,27,0
1763619167.987267,0x100,EngineData,8,03CF3C7400000000,237176,58,-40,,,,
1763619167.9873543,0x200,WheelSpeeds,8,3939383A00000000,,,,156,156,29,0
1763619168.087869,0x100,EngineData,8,03F43F7400000000,256124,186,-40,,,,
1763619168.0880237,0x200,WheelSpeeds,8,3C3B3A3D00000000,,,,29,157,30,128
1763619168.1893296,0x200,WheelSpeeds,8,3E3F3E3F00000000,,,,31,159,31,128
1763619168.1900423,0x100,EngineData,8,03CF3C7400000000,237176,58,-40,,,,
1763619168.2913446,0x200,WheelSpeeds,8,3C3C3C3B00000000,,,,30,30,29,128
1763619168.293144,0x100,EngineData,8,03A9397400000000,217712,186,-40,,,,
1763619168.39419,0x100,EngineData,8,0384367300000000,198764,57,88,,,,
1763619168.3949907,0x200,WheelSpeeds,8,3839393900000000,,,,28,156,156,128
1763619168.4977863,0x100,EngineData,8,035E337300000000,179300,185,88,,,,
1763619168.498815,0x200,WheelSpeeds,8,3535363500000000,,,,154,155,26,128
1763619168.6021564,0x200,WheelSpeeds,8,3332333100000000,,,,153,25,152,128
1763619168.602387,0x100,EngineData,8,0339307300000000,160352,57,88,,,,
1763619168.7088223,0x100,EngineData,8,03132D7300000000,140888,185,88,,,,
1763619168.7090108,0x200,WheelSpeeds,8,302F303000000000,,,,23,152,24,0
1763619168.811534,0x100,EngineData,8,02EE2A7300000000,121940,57,88,,,,
1763619168.811737,0x200,WheelSpeeds,8,2D2D2C2D00000000,,,,150,150,22,128
1763619168.9146981,0x200,WheelSpeeds,8,29292A2800000000,,,,148,149,20,0
1763619168.9158003,0x100,EngineData,8,02C8277300000000,102476,185,88,,,,
1763619169.020552,0x100,EngineData,8,02A3247300000000,83528,57,88,,,,
1763619169.0211656,0x200,WheelSpeeds,8,2727262600000000,,,,147,147,19,0
1763619169.1254094,0x100,EngineData,8,027D217300000000,64064,185,88,,,,
1763619169.1256468,0x200,WheelSpeeds,8,2424242500000000,,,,18,18,18,128
1763619169.230697,0x100,EngineData,8,02581E7300000000,45116,57,88,,,,
1763619169.230936,0x200,WheelSpeeds,8,2021211F00000000,,,,16,144,143,128
1763619169.3334866,0x200,WheelSpeeds,8,1E1D1C1D00000000,,,,14,142,14,128
1763619169.333824,0x100,EngineData,8,02321B7300000000,25652,185,88,,,,
1763619169.4369645,0x100,EngineData,8,020D187300000000,6704,57,88,,,,
1763619169.4378266,0x200,WheelSpeeds,8,1A1A1B1C00000000,,,,13,13,142,0
1763619169.5379908,0x100,EngineData,8,01E7157300000000,249384,185,88,,,,
1763619169.5388887,0x200,WheelSpeeds,8,1717181900000000,,,,139,140,12,128
1763619169.651099,0x200,WheelSpeeds,8,1414161300000000,,,,10,11,9,128
1763619169.6513655,0x100,EngineData,8,01C2127300000000,230436,57,88,,,,
1763619169.752955,0x100,EngineData,8,019C0F7300000000,210972,185,88,,,,
